ident,type,name,latitude_deg,longitude_deg,elevation_ft,state,iata_code
SVCL,medium_airport,Calabozo Airport,8.924655914,-67.41709137,328,J,CLZ
SVVP,medium_airport,Valle de La Pascua Airport,9.222027779,-65.99358368,410,J,VDP
HLLQ,medium_airport,Al Abraq International Airport,32.7887,21.9643,2157,JA,LAQ
ID-KRC,small_airport,Departi Parbo Airport,-2.093,101.4683,2600,JA,KRC
VNJI,small_airport,Jiri Airport,27.626313,86.230581,6000,JA,JIR
VNJP,medium_airport,Janakpur Airport,26.70879936,85.92240143,256,JA,JKR
VNRC,small_airport,Ramechhap Airport,27.3939991,86.06140137,1555,JA,RHP
WIPA,small_airport,Sultan Thaha Airport,-1.63802,103.643997,82,JA,DJB
WIPI,small_airport,Muara Bungo Airport,-1.1278,102.135,214,JA,BUU
WIPU,small_airport,Muko Muko Airport,-2.541860104,101.0879974,24,JA,MPC
LOM,small_airport,Francisco Primo de Verdad y Ramos Airport,21.258983,-101.943758,6227,JAL,LOM
MH-UIT,small_airport,Jaluit Airport,5.90924,169.636993,4,JAL,UIT
MMGL,large_airport,Don Miguel Hidalgo Y Costilla International Airport,20.52179909,-103.310997,5016,JAL,GDL
MMPR,large_airport,Licenciado Gustavo Díaz Ordaz International Airport,20.68009949,-105.2539978,23,JAL,PVR
ID-0003,small_airport,Pulau Panjang Airport,-5.644444,106.5625,155,JB,PPJ
WI1A,small_airport,Nusawiru Airport,-7.719895,108.488995,16,JB,CJN
WICA,medium_airport,Kertajati International Airport,-6.648924,108.166692,134,JB,KJT
WICC,medium_airport,Husein Sastranegara International Airport,-6.900629997,107.5759964,2436,JB,BDO
WICD,small_airport,Penggung Airport,-6.756140232,108.5400009,89,JB,CBN
WICM,small_airport,Cibeureum Airport,-7.346600056,108.2460022,1148,JB,TSY
HLZN,small_airport,Alzintan Airport,31.774878,12.25006,2080,JG,ZIS
HCMK,medium_airport,Kismayo Airport,-0.377353,42.459202,49,JH,KMU
VEJS,medium_airport,Sonari Airport,22.813786,86.169739,475,JH,IXW
VERC,medium_airport,Birsa Munda Airport,23.31430054,85.32170105,2148,JH,IXR
ID-0006,small_airport,"Noto Hadinegoro, Jember Airport",-8.238056,113.694439,281,JI,JBB
ID-0011,small_airport,Blimbingsari Airport,-8.31015,114.3401,112,JI,BWX
ID-0169,small_airport,Bawean Airport,-5.723676,112.679592,93,JI,BXW
ID-MSI,small_airport,Masalembo Airport,-5.583330154,114.4329987,30,JI,MSI
KMB,small_airport,Koinambe Airport,-5.4875,144.6069444,3000,JI,KMB
KQL,small_airport,Kol Airport,-5.731166667,144.846,5350,JI,KQL
UAE,small_airport,Mount Aue Airport,-6.234166667,144.6647222,4250,JI,UAE
WARA,small_airport,Abdul Rachman Saleh Airport,-7.926559925,112.7149963,1726,JI,MLG
WARR,large_airport,Juanda International Airport,-7.379829884,112.7870026,9,JI,SUB
WART,small_airport,Trunojoyo Airport,-7.0242,113.89023,10,JI,SUP
IN-RJI,small_airport,Rajouri Airport,33.37789917,74.31520081,3000,JK,RJI
OPMF,medium_airport,Muzaffarabad Airport,34.3390007,73.50859833,2691,JK,MFG
OPRT,medium_airport,Rawalakot Airport,33.84970093,73.79810333,5479,JK,RAZ
VIJU,medium_airport,Jammu Airport,32.689098,74.837402,996,JK,IXJ
VILH,medium_airport,Leh Kushok Bakula Rimpochee Airport,34.13589859,77.54650116,10682,JK,IXL
VISR,medium_airport,Sheikh ul Alam Airport,33.98709869,74.77420044,5429,JK,SXR
WIHH,medium_airport,Halim Perdanakusuma International Airport,-6.266610146,106.8909988,84,JK,HLP
WIHP,small_airport,Pondok Cabe Air Base,-6.336959839,106.7649994,200,JK,PCB
OLBA,large_airport,Beirut Rafic Hariri International Airport,33.82089996,35.48839951,87,JL,BEY
LKTB,medium_airport,Brno-Tuřany Airport,49.15129852,16.69440079,778,JM,BRQ
EG-AUE,small_airport,Abu Rudeis Airport,28.89900017,33.20249939,39,JS,AUE
HESC,medium_airport,Saint Catherine International Airport,28.682729,34.060503,4402,JS,SKV
HESH,medium_airport,Sharm El Sheikh International Airport,27.97730064,34.39500046,143,JS,SSH
HETR,small_airport,El Tor Airport,28.209,33.6455,115,JS,ELT
ID-KWB,small_airport,Dewadaru Airport,-5.80091,110.47838,35,JT,KWB
ID-PWL,small_airport,Purwokerto Airport,-7.461669922,109.4169998,225,JT,PWL
WARC,small_airport,Ngloram Airport,-7.194841667,111.5481667,131,JT,CPF
